20,Stanka Amadeo,ST
20,Andrea Tedeschi,AND
20,Hrvoje & Tina,HRV
20,Dubrovnik Wine Tours,DW
20,Adventure Dalmatia Dubrovnik,ADD
20,Adventure Dalmatia Split,ADS
20,Amazing Hvar,AH
20,Ante Batarelo,AB
20,Antonija Buntak,AN
20,Da Riva,DR
20,Prodan Tartuffi,PRO
20,Kozlovic Winery,KOZ
20,Degenija Tours,DJ
20,Doria,DO
20,Dream Tours,DT
20,Eat in Split Food Tour,ES
20,Hvar Adventure,HA
20,Hvar Tours,HT
20,Kameni Dvori,KD
20,Konoba Belin,KB
20,Korcula Explorer,KE
20,Kotor Private Tours,LS
20,Nikol Sisejkovic,NK
20,Portal Split,PS
20,Sara GOT Tours,GOT
20,Slovenia Explorer,SE
20,Unforgettable Croatia,UC
20,Zipline Omis,ZO
20,Darko Barisic,DBS
20,Dubrovnik Boats,DBO
20,Bota Sare,BOT
20,Rizman Winery,RIZ
20,Plitvice Lakes National Park,PLI
20,Krka National Park,KRK
20,Mljet National Park,MLJ
20,Blue Cave,BLU
20,"16 Lakes Hotel, Plitvice",PLI16LAKES
1,"Adriana Hvar Spa Hotel, Hvar",HVAADRIANA
2,"Adriatic Hotel, Rovinj",ROVADRIATIC
3,"Amadria Park Andrija, Sibenik",SIBAPANDRIJA
3,"Amadria Park Grand hotel 4 opatijska cvijeta, Opatija",OPAAPGRAND4
3,"Amadria Park Hotel Ivan, Sibenik",SIBAPIVAN
3,"Amadria Park Hotel Jure, Sibenik",SIBAPJURE
3,"Amadria Park Hotel Milenij, Opatija",OPAAPMILENIJ
3,"Amadria Park Hotel Royal, Opatija",OPAAPROYAL
3,"Amadria Park Hotel Sveti Jakov, Opatija",OPAAPSVETIJAKOV
1,"Amfora Hvar Grand Beach Resort, Hvar",HVAAMFORA
20,"Angelo d'Oro Hotel, Rovinj",ROVANGELODORO
20,"Aparthotel Bellevue, Trogir",TROBELLEVUE
20,"Apartment Diana 4, Bol",CROAPADIA4
20,"Ariston Hotel, Dubrovnik",DBVARISTON
20,"Art Hotel Kalelarga, Zadar",ZADARTKALELARGA
20,"Arupinum Hotel, Rovinj",ROVARUPINUM
20,"Atrium Hotel, Split",SPLATRIUM
20,"Berkeley Hotel and Day Spa, Dubrovnik",DBVBERKELEY
20,"Best Western Hotel Stella, Zagreb",ZAGBWSTELLA
20,"Best Western Premier Hotel Astoria, Zagreb",ZAGBWPASTORIA
20,"Bifora Heritage Hotel, Trogir",TROBIFORA
4,"Bluesun Hotel Borak, Bol",BOLBLUEBORAK
4,"Bluesun Hotel Elaphusa, Bol",BOLBLUEELAPHUSA
4,"Bluesun Resort Bonaca, Bol",BOLBLUEBONACA
20,"Boban Luxury Suites, Split",CROBOBAN
20,"Boutique Hotel Alhambra and Villa Augusta, Losinj",LOSALHAMBRA
20,"Boutique Hotel Valsabbion, Pula",PULVALSABBION
20,"Brown Beach House, Trogir",TROBBH
20,"Casa Garzotto, Rovinj",ROVCASAGARZOTTO
20,"Cornaro Hotel, Split",SPLCORNARO
20,"Dioklecijan Hotel and Residence, Split",SPLDIOKLECIJAN
20,"Divota Apartment Hotel, Split",SPLDIVOTAAPART
20,"DoubleTree by Hilton Hotel Zagreb, Zagreb",ZAGDOUBLETREE
20,"D-Resort Sibenik, Sibenik",SIBDRESORT
5,"Hotel Eden, Rovinj",ROVEDEN
20,"Esplanade Zagreb Hotel, Zagreb",ZAGESPLANADE
6,"Falkensteiner Family Hotel Diadora, Zadar",ZADFALKDIADORA
6,"Falkensteiner Hotel & Spa Iadera, Zadar",ZADFALKLADERA
6,"Falkensteiner Hotel Adriana, Zadar",ZADFALKADRIANA
5,"Family Amarin Hotel, Rovinj",ROVFAMILYAMARIN
20,"Grand Hotel Adriatic I, Opatija",OPAGRANDADRIAT1
20,"Grand Hotel Adriatic II, Opatija",OPAGRANDADRIAT2
20,"Grand Lakes Rooms, Plitvice",PLIGRANDLAKES
5,"Grand Park Hotel Rovinj, Rovinj",ROVGRANDPARK
20,"Grand Villa Argentina, Dubrovnik",DBVGRANDVILAR
20,"Heritage Hotel 19, Split",SPLHERITAGE19
20,"Heritage Hotel Antique Split, Split",SPLANTIQUE
20,"Heritage Hotel Cardo, Split",SPLCARDO
20,"Heritage Hotel Life Palace, Sibenik",SIBLIFEPALACE
20,"Heritage Hotel Tragos, Trogir",TROTRAGOS
20,"Heritage Hotel Vila Sikaa, Trogir",TROVILSIKAA
20,"Heritage Palace Varos, Split",SPLHPVAR
20,"Heritage Villa Apolon, Stari Grad",HVAVILAPOLON
20,"Hilton Imperial Dubrovnik, Dubrovnik",DBVHILTONIMP
20,"Hotel 9, Zagreb",ZAG9
20,"Hotel Adria, Dubrovnik",DBVADRIA
20,"Hotel Agava, Opatija",OPAAGAVA
20,"Hotel Almayer, Zadar",ZADALMAYER
20,"Hotel Amphora, Split",SPLAMPH
20,"Hotel Aquarius, Dubrovnik",DBVAQUARIUS
20,"Hotel Bastion, Zadar",ZADBASTION
20,"Hotel Bellevue, Losinj",LOSBELLEVUE
7,"Hotel Bellevue, Dubrovnik",DBVBELLEVUE
20,"Hotel Bellevue-Superior City Hotel, Sibenik",SIBBELLEVUESUP
20,"Hotel Bevanda, Opatija",OPABEVANDA
20,"Hotel Bol, Bol",BOLBOL
20,"Hotel Bozica, Sipan",SIPBOZICA
3,"Hotel Capital, Zagreb",ZAGREBCAPITAL
20,"Hotel Cavtat, Cavtat",CAVCAVTAT
20,"Hotel Continental, Opatija",OPACONTINENTAL
7,"Hotel Croatia, Cavtat",CAV56
20,"Hotel Degenija, Plitvice",PLIDEGENIJA
20,"Hotel Dubrovnik, Zagreb",ZAGDUBROVNIK
7,"Hotel Dubrovnik Palace, Dubrovnik",DBVDUBROPALACE
7,"Hotel Excelsior, Dubrovnik",DBVEXCELSIOR
20,"Hotel Fabris, Korcula",KORFABRIS
20,"Hotel Fenomen, Plitvice",PLIFENOMEN
20,"Hotel International, Zagreb",ZAGINTERNA
20,"Hotel Jagerhorn, Zagreb",ZAGJAGERHORN
20,"Hotel Jarun, Zagreb",ZAGJARUN
20,"Hotel Kastel, Motovun",MOTKASTEL
20,"Hotel Kazbek, Dubrovnik",DBVKAZBEK
7,"Hotel Kompas, Dubrovnik",DBVKOMPAS
20,"Hotel Korsal, Korcula",KORKORSAL
20,"Hotel Lapad, Dubrovnik",DBVLAPAD
20,"Hotel Lemongarden, Sutivan",SUTLEMONGARDEN
20,"Hotel Lero, Dubrovnik",DBVLERO
8,"Aminess Liburna Hotel , Korcula",KORLIBURNA
20,"Hotel Luxe, Split",SPLLUXE
20,"Hotel Lyra Plitvice, Plitvice",PLILYRA
20,"Hotel Marul, Split",SPLMARUL
20,"Hotel More, Dubrovnik",DBVMORE
20,"Hotel Navis, Opatija",OPANAVIS
20,"Hotel Niko, Zadar",ZADNIKO
20,"Hotel Odisej, Mljet",MILODISEJ
20,"Hotel Ora, Split",SPLORA
20,"Hotel Osam, Supetar",SUPOSAM
20,"Hotel Osejava, Makarska",MAKOSEJAVA
20,"Hotel Palcich, Plitvice Lakes",PLIPALCI
20,"Hotel Park, Split",SPLPARK
20,"Hotel Pasike, Trogir",TROPASIKE
20,"Hotel Peristil, Split",SPLPERISTIL
20,"Hotel Podstine, Hvar",HVAPODSTINE
20,"Hotel Posh, Split",SPLPOSH
20,"Hotel San Giorgio, Vis",VISSANGIORGIO
20,"Hotel Savoy, Opatija",OPASAVOY
20,"Hotel Sipan, Sipan",SIPSIPAN
20,"Hotel Stari Grad, Dubrovnik",DBVSTARIGRAD
20,"Hotel Trogir Palace, Trogir",TROPALACE
20,"Hotel Uvala, Dubrovnik",DBVUVALA
20,"Hotel Vestibul Palace, Split",SPLVESTIBUL
20,"Hotel Villa Ariston, Opatija",OPAVILARISTON
20,"Hotel Villa Kapetanovic, Opatija",OPAVILKAPETANO
20,"Hotel Zagreb, Dubrovnik",DBVZAGREB
20,"Huma Hotel Kotor Bay, Kotor",KOTHUMA
20,"Jupiter Heritage Hotel, Split",SPLJUPITER
8,"Aminess Korcula Heritage Hotel, Korcula",KORDELAVILLE
20,"Lafodia Hotel and Resort, Lopud",LOPLAFODIA
20,"Le Meridien Lav, Split",SPLLEMERIDIEN
20,"Lesic Dimitri Palace, Korcula",KORLESICDIMITRI
20,"Lifestyle Hotel Vitar, Bol",BOLLIFEVITAR
5,"Hotel Lone, Rovinj",ROVLONE
8,"Marko Polo Hotel, Korcula",KORMARKOPOLO
20,"Marmont Hotel Heritage, Split",SPLMARMONT
20,"Marvie Hotel and Health, Split",SPLMARVIE
20,Meneghetti Wine Hotel & Winery,CROMENGH
5,"Monte Mulini Hotel, Rovinj",ROVMONTEMULINI
20,"Neptun Hotel, Dubrovnik",DBVNEPTUNE
20,"Oasi - Boutique Hotel & Restaurant, Pula",PULOASI
20,"One Suite Hotel, Dubrovnik",DBVONESUITE
1,"Palace Elisabeth Hvar Heritage Hotel, Hvar",HVAELISABETHPAL
20,"Palace Hotel, Zagreb",ZAGPALACE
20,"Palace Judita Heritage Hotel, Split",SPLJUDITAPALACE
20,"Palace Suites Heritage Hotel, Split",SPLPALACESUITES
20,"Park Plaza Arena Pula, Pula",PULPPARENA
20,"Park Plaza Histria Pula, Pula",PULPPHISTRIA
20,"Park Plaza Verudela, Pula",PULVERUPARKPLAZ
1,"Pharos Hvar Bayhill Hotel, Hvar",HVAPHAROSBAY
20,"Piazza Heritage Hotel, Split",SPLPIAZZA
20,"Plaza Marchi Old Town, Split",SPLMAROT
20,"Plitvice Miric Inn, Plitvice",PLIMIRICINN
8,"Aminess Port 9 Hotel, Korcula",KORPORT9
20,"Radisson Blu Resort and Spa, Split",SPLRADIBLU
9,"Hotel Admiral, Opatija",OPAREMIADMIRAL
9,"Heritage Hotel Imperial, Opatija",OPARPHERITAGE
9,"Hotel Ambasador, Opatija",OPARPAMBASADOR
9,"Hotel Kvarner, Opatija",OPARPKVARNER
20,"Residence Rovinj, Rovinj",ROVRESIDENCE
1,"Riva Yacht Harbour Hotel, Hvar",HVARIVAYACHT
20,"Rixos Libertas Dubrovnik, Dubrovnik",DBVRIXOSLIBERTA
20,"Royal Blue Hotel, Dubrovnik",DBVROYALBLUE
20,"Royal Princess Hotel, Dubrovnik",DBVROYALPRINCES
20,"Royal Suites, Split",SPLROYALESUITES
20,"Sheraton Dubrovnik Riviera Hotel, Dubrovnik",DBVSHERATON
20,"Sheraton Zagreb Hotel, Zagreb",ZAGSHERATON
20,"Spirito Santo Palazzo Storico, Rovinj",ROVSPIRITOSANTO
20,"Splendida Palace, Split",SPLSPLENDI
20,"St. Joseph's Boutique Hotel, Dubrovnik",DBVSTJOSEPH
20,"Sun Gardens Hotel, Dubrovnik",CROSUNGARDENS
20,"Taras Lodge, Korcula",KORTARASLODGE
20,"The Melegran, Rovinj",ROVMEL
20,"The Pucic Palace, Dubrovnik",DBVPUCICPALACE
20,"The Westin Zagreb, Zagreb",ZAGWESTIN
10,"Valamar Argosy Hotel, Dubrovnik",DBVVALAARGOSY
10,"Valamar Collection Dubrovnik President Hotel, Dubrovnik",DBVVALAPRESIDEN
10,"Valamar Crystal Hotel, Porec",PORVALAMCRYSTAL
10,"Valamar Isabella Island Resort, Porec",PORVALAMISABEL
10,"Valamar Lacroma Dubrovnik Hotel, Dubrovnik",DBVVALALACROMA
10,"Valamar Riviera Hotel & Residence, Porec",PORVALAMRIVIERA
20,"Villa Allure of Dubrovnik, Dubrovnik",DBVVILALLURE
20,"Villa Dubrovnik, Dubrovnik",DBVVILDUBROVNIK
20,"Villa Giardino, Bol",BOLGIARDINO
20,"Villa Glavic, Dubrovnik",DBVVILGLAVIC
20,"Villa Lika, Plitvice",PLIVILLIKA
20,"Villa Nepos, Split",SPLVILLANEPOS
20,"Villa Nora, Hvar",HVAVILNORA
20,"Villa Orsula, Dubrovnik",DBVVILORSULA
20,"Villa Split Heritage Hotel, Split",SPLVILHERITAGE
20,"Villa Toni Design Apartments, Split",SPLVILTON
20,"Villa Tuttorotto, Rovinj",ROVVILTUTTORO
20,Wine and Heritage Hotel Roxanich,MOTWINEHERITAGE
20,"XII Century Heritage Hotel, Trogir",TROXIICENTURY
20,"Duodo Palace Hotel, Venice",VENDUOP
20,"Hotel Nani Mocenigo, Venice",VENNAMO
20,"Palazzo Giovanelli & Gran Canal, Venice",VENPALGIO
20,"Aman Resort, Sveti Stefan",SVEAMAN
20,"Amfora Casa Del Mare, Kotor",KOTAMCDM
20,"Boutique Hotel Hippocampus, Kotor",KOTHIPPOCAMPUS
20,"Dukley Hotel and Resort, Budva",BUDDUKLEY
20,"Hotel Astoria, Kotor",KOTASTORIA
20,"Hotel Budva, Budva",BUDBUDVA
20,"Hotel Conte, Perast",PERCONTE
20,"Hotel Forza Mare, Kotor",KOTFORZAMARE
20,"Hotel Forza Terra, Kotor",KOTFORZATERRA
20,"Hotel Monte Cristo, Kotor",KOTMONTECRISTO
20,"Hotel Porto IN, Kotor",KOTPORTOIN
20,"Hotel Vardar, Kotor",KOTVARDAR
20,"La Perla Hotel, Tivat",TIVLAPERLA
20,"La Roche Hotel, Tivat",TIVLAROCHE
20,"Maestral Resort and Casino, Sveti Stefan",SVEMAESTRAL
20,Regent Porto Montenegro - Pool Club Residences,TIVRPMPOOLCLUB
20,Regent Porto Montenegro - Venezia Wing,TIVRPMVENEZIA
20,"The Chedi Lustica Bay, Tivat",TIVCHEDILUSTICA
20,"Adora Hotel, Ljubljana",LUBADORA
20,"Ahotel Hotel, Ljubljana",LUBAHOTEL
20,"Best Western Hotel Slon, Ljubljana",LUBBESTWESTERN
20,"City Hotel Ljubljana, Ljubljana",LUBCITYHOTEL
20,"G Designe Hotel , Ljubljana",LUBGDESIGNE
20,"Grand Hotel Union, Ljubljana",LUBGRANDUNION
20,"Grand Toplice Hotel, Bled",BLEGRANDTOPLICE
20,"Hotel Astoria Bled, Bled",BLEASTORIA
20,"Hotel Cubo, Ljubljana",LUBCUBO
20,"Hotel Galleria, Ljubljana",SLOHOTGALL
20,"Hotel Triglav, Bled",BLETRIGLAV
20,"InterContinental, Ljubljana",LUBINTERCONT
20,"Lesar Angel Hotel, Ljubljana",LUBLESARANGEL
20,"NOX Hotel, ljubljana",LUBNOX
20,"Uhotel, Ljubljana",LUBUHOTEL
20,"Urban Boutique Hotel, Ljubljana",LUBURBANBOUT
20,"Vila Bled, Bled",BLEVILBLED
11,MV Admiral,CRODLXADMI
12,MS Adriatic Queen,CRODLXADQU
11,MV Adriatic Sun,CRODLXADSU
13,MS Ambassador,CRODLXAMBA
14,MV Antaris,CRODLXANTA
11,MV Aquamarin,CRODLXAQUA
15,MS Arca,CRODLXARCA
11,MS Aurelia,CRODLXAURE
11,MV Avangard,CRODLXAVAN
11,MV Ave Maria,CRODLXAVEM
12,MS Bella,CRODLXBELLA
11,MV Black Swan,CRODLXBLAC
15,MS Desire,CRODLXDESI
14,MV Diamond,CRODLXDIAM
15,MS Equator,CRODLXEQUA
11,MV Fantazija,CRODLXFANT
20,MS Freedom,CRODLXFREE
11,MV Futura,CRODLXFUTU
11,MV Infinity,CRODLXINFI
13,MS Kapetan Bota,CRODLXKAPE
20,MS Karizma,CRODLXKARI
11,MV Katarina,CRODLXKATA
20,MS Kleopatra,CRODLXKLEO
13,MS Mama Marija,CRODLXMAMA
11,MV Maritimo,CRODLXMARI
11,MV Markan,CRODLXMARK
15,MV My Way,CRODLXMYWA
15,MV My Wish,CRODLXMYWI
14,MS New Star,CRODLXNEWS
15,MS Prestige,CRODLXPRES
11,MV Riva,CRODLXRIVA
11,MV San Antonio,CRODLXSANA
13,MS Sea Swallow,CRODLXSEAS
15,MS Stella Maris,CRODLXSTEL
13,MS Summer,CRODLXSUMM
16,MV Bellissima,CROSIGBELL
16,MV Memories,CROSIGMEMO
11,MS Amalia,CROSUPAMAL
14,MV Aurora,CROSUPAURO
11,MV Dream,CROSUPDREA
15,MS Eden,CROSUPEDEN
11,MS Lupus Mare,CROSUPLUPU
11,MS Majestic,CROSUPMAJE
11,MV Moonlight,CROSUPMOON
11,MV Nautilus,CROSUPNAU
11,MS Paradis,CROSUPPARA
15,MS Princess Aloha,CROSUPPRIN
11,MS Seagull,CROSUPSEAG
11,MS Spalato,CROSUPSPAL
13,MS Splendid,CROSUPSPLE
14,MV Ban,CRODLXBAN
14,MV Cristal,CRODLXCRIS
14,MS Lastavica,CRODLXLAST
14,MS President,CRODLXPRES
14,MV Symphony,CRODLXSYMP
16,MV Phoenix,CRDLXPHEON
11,MS Adriatic Sky,CRODLXASKY
11,MV Rhapsody,CRODLXRHAP
13,MS Invictus,CRODLXINVI
13,MS San Spirito,CRODLXSANS
13,MS Swallow,CRODLXSWAL
13,MS Mama Marija II,CRODLXMAM2
13,MS Oscar,CRODLXOSCA
12,MS Adriatic King,CRODLXAKING
